name,weight_mean,weight_min,weight_max,head_body_mean,head_body_min,head_body_max,tail_mean,tail_min,tail_max,hind_foot_mean,hind_foot_min,hind_foot_max,ear_mean,ear_min,ear_max,length_skull_mean,length_skull_min,length_skull_max
epixerus_ebii,470.3,346,543,263.8,240,280,283.8,260,320,65.1,62.3,68.3,19.4,18,20,68.4,64.9,70.5
funisciurus_pyrropus,241.6,187,289,198.8,183,215,178,154,210,46.2,41,52,17.8,11.7,20,49,46.7,51.9
heliosciurus_gambianus,245.6,157,325,205.5,188,230,248,200,305,50.2,45,54,14.8,10,18,47.4,42.5,51.6
heliosciurus_punctatus,145.5,119,163,186.7,155,206,227.3,202,270,46.7,44,51,15.2,13,17,45,41.3,48
heliosciurus_rufobrachium,329.3,250,388,227.7,193,256,267.3,203,320,53.9,47,60,15.7,10,19,52.1,46.3,56.8
paraxerus_poensis,171.3,114,346,157.9,132,179,184.6,106,218,40,32,41,12.8,10,17,40.5,34.7,43.5
allosciurus_aubinii,470.7,429,498,253,240,267,295,273,310,54.5,52,57,20.1,19,21,59.2,58.5,60.1
protoxerus_stangeri,616.8,393,716,276.7,210,310,316.8,230,394,64.9,60,72,21.4,15,25,66.4,62,70.5
graphiurus_crassicaudatus,23.6,19,29,88.9,77,100,58.4,53,70,16.4,13,19,12,7,15,25.6,24.1,27.8
graphiurus_lorraineus,16.8,12,24,80.5,70,93,66.8,45,77,16.5,13,19,12.4,9,15,24.5,22.7,26.2
graphiurus_nagtglasii,70.2,62,77,132.4,108,160,126,102,160,27.3,24,31,19.4,16,22,36.3,32.9,39.9
cricetomys_emini,1000,800,1200,328.5,300,355,381.6,320,429,67.7,64,71,38.1,33,45,70.3,59.5,77.2
